ZONE_ID,EU_CIRCO,NOM_REGION,CHEF.LIEU_REGION,NOM_DEPARTEMENT,NOM_COMMUNE,CODES_POSTAUX,CODE_INSEE
z1300,Sud-Est,Rhône-Alpes,Lyon,Ain,Virignin,1300,1454
z1301,Sud-Est,Rhône-Alpes,Lyon,Ain,Vongnes,1350,1456
z1302,Sud-Est,Rhône-Alpes,Lyon,Ain,Ambérieux-en-Dombes,1330,1005
z1303,Sud-Est,Rhône-Alpes,Lyon,Ain,Arbigny,1190,1016
z1304,Sud-Est,Rhône-Alpes,Lyon,Ain,Ars-sur-Formans,1480,1021
z1305,Sud-Est,Rhône-Alpes,Lyon,Ain,Asnières-sur-Saône,1570,1023
z1306,Sud-Est,Rhône-Alpes,Lyon,Ain,Bâgé-la-Ville,1380,1025
z1307,Sud-Est,Rhône-Alpes,Lyon,Ain,Bâgé-le-Châtel,1380,1026
z1308,Sud-Est,Rhône-Alpes,Lyon,Ain,Baneins,1990,1028
z1309,Sud-Est,Rhône-Alpes,Lyon,Ain,Beauregard,1480,1030
